"","Dim1","Dim2","Cluster","Country_Wave","Distance_to_Cluster_1","Country","Wave"
"106",21.2939861854298,12.7671361537292,"1","HRV3",0,"HRV",3
"107",16.8836773612227,53.0693781216614,"2","HTI6",35.1305681214047,"HTI",6
"108",-2.12221689728699,-1.52381617953349,"2","HUN1",10.2629527691239,"HUN",1
"109",18.105677972653,13.3038625378891,"1","HUN3",0,"HUN",3
"110",10.1034157176002,10.7340619766407,"2","HUN5",4.3311588268217,"HUN",5
"111",-27.7446717544611,-11.290583129202,"3","IDN4",33.4867082764089,"IDN",4
"112",-24.8300274975367,-8.979756689327,"3","IDN5",30.5014053390046,"IDN",5
"113",-20.4914478264742,6.25209421392418,"3","IDN7",30.1987412600473,"IDN",7
"114",-7.50060834800396,-14.4414646042493,"3","IND2",14.1911059326441,"IND",2
"115",-10.378625578581,-14.0681196332303,"3","IND3",16.7975281880053,"IND",3
"116",-4.09283036579769,1.28463939950651,"2","IND4",13.2324647013819,"IND",4
"117",-3.41325559190289,13.2782493415374,"2","IND5",17.6633197854471,"IND",5
"118",-15.7116140299969,-5.70022297321014,"3","IND6",21.653175830955,"IND",6
"119",-17.3417746464299,-9.42072251996901,"3","IRN4",23.0149372525389,"IRN",4
"120",-12.2539026362402,-0.887155579849609,"3","IRN5",19.7218858364234,"IRN",5
"121",-11.367010415128,-1.01649555248932,"3","IRN7",18.8627496865561,"IRN",7
"122",-12.7559797746183,-11.6604836644432,"3","IRQ4",18.6024711726566,"IRQ",4
"123",-16.9576469296076,-17.1200304252758,"3","IRQ5",24.0035160372933,"IRQ",5
"124",-13.6398635630975,1.09591338065866,"3","IRQ6",21.8135142331541,"IRQ",6
"125",-21.3702070105853,17.6078667942153,"2","IRQ7",35.774795671317,"IRQ",7
"126",6.64195713056144,0.100868461002916,"2","ISR4",2.99636483786173,"ISR",4
"127",11.6160884107953,-5.85873835629845,"1","ITA5",0,"ITA",5
"128",-29.5178410767026,-2.81814951966475,"3","JOR4",35.7473493800411,"JOR",4
"129",-30.9369107403206,-7.99243474287276,"3","JOR5",36.6251163577801,"JOR",5
"130",-18.7902408651576,-1.23789872023539,"3","JOR6",25.6974236079132,"JOR",6
"131",-20.6448096657077,1.71147902215155,"3","JOR7",28.4547611284717,"JOR",7
"132",4.37677405941627,-6.51536305707182,"2","JPN1",2.26685998098263,"JPN",1
"133",9.82954041112115,-15.5779581272724,"1","JPN2",0,"JPN",2
"134",16.5066847303675,-12.0588236730323,"1","JPN3",0,"JPN",3
